31045 particles, 226 vloidsters
Zone# edgeflag CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
205 0 26899 2.270919e-01 1.073109e+02 98 1 1.073109e+02 98 1.306920 2.02e-01
206 0 27260 2.422363e-01 1.167538e+02 117 1 1.167538e+02 117 1.053616 7.60e-01
207 0 27465 2.051793e-01 6.512849e+01 60 1 6.512849e+01 60 1.186343 3.82e-01
208 0 27891 1.779464e-01 1.830405e+02 187 3 3.333221e+02 379 1.572218 4.52e-02
209 0 27898 1.970034e-01 1.673568e+02 166 1 1.673568e+02 166 1.143852 4.77e-01
210 0 27933 2.329290e-01 9.239735e+01 102 1 9.239735e+01 102 1.206561 3.44e-01
211 0 28047 2.679846e-01 3.683847e+01 45 1 3.683847e+01 45 1.035909 8.32e-01
212 0 28343 2.794314e-01 2.745757e+01 27 1 2.745757e+01 27 1.079701 6.64e-01
213 0 28628 2.180040e-01 1.046571e+02 117 1 1.046571e+02 117 1.554637 5.01e-02
214 0 28790 1.587634e-01 1.600847e+02 161 1 1.600847e+02 161 1.283491 2.29e-01
215 0 28810 2.192171e-01 1.242906e+02 152 1 1.242906e+02 152 1.471645 8.11e-02
216 0 28967 1.308224e-01 2.481206e+02 259 2 5.164872e+02 482 1.386288 1.31e-01
217 0 29151 1.690066e-01 5.797836e+01 51 1 5.797836e+01 51 1.510219 6.50e-02
218 0 29448 2.623139e-01 5.885395e+01 79 1 5.885395e+01 79 1.021241 8.97e-01
219 0 29882 1.536024e-01 2.683666e+02 223 1 2.683666e+02 223 1.016118 9.21e-01
220 0 29928 2.815949e-01 7.411185e+01 130 1 7.411185e+01 130 1.085744 6.44e-01
221 0 29981 1.025175e-01 9.854442e+02 959 35 8.964271e+03 8594 2.450621 6.16e-05
222 0 30276 1.806112e-01 1.992225e+02 216 1 1.992225e+02 216 1.026090 8.75e-01
223 0 30453 3.655221e-01 2.031019e+01 20 1 2.031019e+01 20 1.114595 5.55e-01
224 0 30581 2.832209e-01 6.080907e+01 87 1 6.080907e+01 87 1.042547 8.04e-01
225 0 30877 2.417752e-01 1.023384e+02 146 2 1.631474e+02 233 1.222124 3.17e-01
